Name,Cuisine Style,Ranking,Rating,Price Range,Number of Reviews,Reviews,URL_TA
U Vavru,,1818.0,4.5,,6.0,"[['Good value for your money', 'Good place for smokers'], ['01/03/2018', '12/20/2015']]",/Restaurant_Review-g274707-d4768026-Reviews-U_Vavru-Prague_Bohemia.html
U Zlateho Pstrosa,['Cafe'],1819.0,4.5,,7.0,"[['Best cakes ever', 'Omg! Cakes that take you to sweet heaven!'], ['08/10/2017', '10/14/2016']]",/Restaurant_Review-g274707-d7124037-Reviews-U_Zlateho_Pstrosa-Prague_Bohemia.html
La Torretta,"['Italian', 'Pizza', 'European']",1820.0,3.5,$$ - $$$,77.0,"[['Great pizza and service', 'Italian food'], ['12/01/2017', '11/29/2017']]",/Restaurant_Review-g274707-d4769671-Reviews-La_Torretta-Prague_Bohemia.html
Volcano Grill House,"['Italian', 'International', 'Barbecue', 'European', 'Central European']",1821.0,4.0,$$ - $$$,35.0,"[['Great place for relaxed lunch', 'Good food and place'], ['05/29/2017', '02/14/2017']]",/Restaurant_Review-g274707-d5461394-Reviews-Volcano_Grill_House-Prague_Bohemia.html
Pavlovin,,1822.0,4.5,,8.0,"[[], []]",/Restaurant_Review-g274707-d4768749-Reviews-Pavlovin-Prague_Bohemia.html
OH Mexico Restaurant and Chanchala Indian Restaurant,"['Mexican', 'Indian', 'Vegetarian Friendly']",1823.0,3.5,$$ - $$$,86.0,"[['Lovely margaritas!', 'Ok for a pit stop.'], ['12/02/2017', '10/26/2017']]",/Restaurant_Review-g274707-d10539464-Reviews-OH_Mexico_Restaurant_and_Chanchala_Indian_Restaurant-Prague_Bohemia.html
Deli Maltez,,1824.0,3.5,,13.0,"[['Our Go To Spot for Happy Hour', 'Great location and service'], ['09/24/2017', '07/07/2017']]",/Restaurant_Review-g274707-d8562706-Reviews-Deli_Maltez-Prague_Bohemia.html
World Vegan,,1825.0,5.0,,4.0,"[['Great store to grab food on the go'], ['06/10/2017']]",/Restaurant_Review-g274707-d10821586-Reviews-World_Vegan-Prague_Bohemia.html
Premier Mercato,"['Mediterranean', 'European', 'Delicatessen', 'Central European']",1826.0,3.5,$$ - $$$,23.0,"[['breakfast', ""Don't bother""], ['08/21/2017', '08/15/2017']]",/Restaurant_Review-g274707-d10211785-Reviews-Premier_Mercato-Prague_Bohemia.html
Giallo Rossa,"['Italian', 'Pizza', 'European', 'Mediterranean']",1827.0,4.0,$,35.0,"[['Fabulous Lunch', 'I LOVE THE PIZZA THERE'], ['11/05/2017', '01/09/2017']]",/Restaurant_Review-g274707-d1116602-Reviews-Giallo_Rossa-Prague_Bohemia.html
Restaurant Zeleny dvur,"['International', 'European', 'Czech']",1828.0,4.5,$$ - $$$,17.0,"[['Excellent!', 'Good dinner! No cider, though. :-)'], ['01/03/2016', '06/20/2015']]",/Restaurant_Review-g274707-d4768708-Reviews-Restaurant_Zeleny_dvur-Prague_Bohemia.html
Bonavita,"['Czech', 'Bar', 'European', 'Pub']",1829.0,3.5,$$ - $$$,57.0,"[['a meal before being picked up for flight', 'Cheap restaurant in city centre'], ['03/15/2017', '03/07/2017']]",/Restaurant_Review-g274707-d4767632-Reviews-Bonavita-Prague_Bohemia.html
Cokoladova Cukrarna,,1830.0,4.5,,16.0,"[['Great tiny coffee shop', 'If you have a sweet tooth, then this place...'], ['09/18/2017', '05/26/2016']]",/Restaurant_Review-g274707-d3438491-Reviews-Cokoladova_Cukrarna-Prague_Bohemia.html
U Patrona,"['European', 'Czech', 'Eastern European', 'Central European', 'International']",1831.0,3.5,$$ - $$$,366.0,"[['Good ""koleno"" (pork knuckle)', 'Good enought'], ['09/24/2017', '08/07/2017']]",/Restaurant_Review-g274707-d1066247-Reviews-U_Patrona-Prague_Bohemia.html
Pasticka,"['Bar', 'European', 'Pub', 'Czech', 'Central European']",1832.0,3.5,$$ - $$$,54.0,"[['Overpriced restaurant', 'Local basement pub'], ['07/01/2017', '12/14/2016']]",/Restaurant_Review-g274707-d1092947-Reviews-Pasticka-Prague_Bohemia.html
Na Blbym Miste,"['Bar', 'Pub', 'Czech', 'Central European', 'European']",1833.0,3.5,$$ - $$$,136.0,"[['food was ok and good value', 'Nice dumplings'], ['12/08/2017', '11/30/2017']]",/Restaurant_Review-g274707-d2170342-Reviews-Na_Blbym_Miste-Prague_Bohemia.html
Atrium Restaurant,,1834.0,4.0,,15.0,"[['Not good value for money', 'refreshing hideaway'], ['12/28/2017', '10/19/2016']]",/Restaurant_Review-g274707-d8445238-Reviews-Atrium_Restaurant-Prague_Bohemia.html
Cafe Arte,['Cafe'],1835.0,4.5,$,12.0,"[[""Bohemian that's a rap"", 'Beer is Best!!!!'], ['09/19/2015', '09/04/2015']]",/Restaurant_Review-g274707-d7590364-Reviews-Cafe_Arte-Prague_Bohemia.html
Cisarska Louka Camping Restaurace,,1836.0,5.0,,5.0,"[['Nice quiet place with a beautiful terrace...'], ['08/14/2013']]",/Restaurant_Review-g274707-d4701718-Reviews-Cisarska_Louka_Camping_Restaurace-Prague_Bohemia.html
U Splavu,"['European', 'Czech']",1837.0,4.5,,4.0,"[[], []]",/Restaurant_Review-g274707-d7123720-Reviews-U_Splavu-Prague_Bohemia.html
Rotondo,['European'],1838.0,4.5,,4.0,"[['Homemade food', 'Casual dining'], ['10/11/2015', '09/26/2015']]",/Restaurant_Review-g274707-d4768881-Reviews-Rotondo-Prague_Bohemia.html
U Zabranskych,"['Bar', 'Pub', 'Czech', 'European', 'Central European']",1839.0,3.5,$$ - $$$,70.0,"[['Great Place', 'A good reasonably priced meal'], ['12/08/2017', '07/04/2017']]",/Restaurant_Review-g274707-d2719761-Reviews-U_Zabranskych-Prague_Bohemia.html
Restaurace U Motaka,"['International', 'European', 'Czech']",1840.0,4.0,$$ - $$$,14.0,"[['U Motaka', 'Never ever again!!'], ['09/20/2017', '08/10/2017']]",/Restaurant_Review-g274707-d12659558-Reviews-Restaurace_U_Motaka-Prague_Bohemia.html
Restaurace U Zvonu,"['Czech', 'European']",1841.0,4.0,$,19.0,"[['Lovely chicken schnitzel.', 'Nice place with friendly stuff'], ['05/17/2017', '01/10/2018']]",/Restaurant_Review-g274707-d6166010-Reviews-Restaurace_U_Zvonu-Prague_Bohemia.html
Pivni bar Blanicka 28,,1842.0,4.5,,3.0,"[['Just go here.'], ['07/17/2017']]",/Restaurant_Review-g274707-d10756326-Reviews-Pivni_bar_Blanicka_28-Prague_Bohemia.html
Prazsky Dvur,"['European', 'Czech']",1843.0,4.5,,7.0,"[[], []]",/Restaurant_Review-g274707-d3601630-Reviews-Prazsky_Dvur-Prague_Bohemia.html
Domaci testoviny Honza a Matej,"['European', 'Czech', 'Italian']",1844.0,4.0,$,9.0,"[['Great place', 'Yummy fresh pasta, plus always so quick!'], ['10/11/2017', '10/03/2017']]",/Restaurant_Review-g274707-d5289488-Reviews-Domaci_testoviny_Honza_a_Matej-Prague_Bohemia.html
Yong,['Chinese'],1845.0,4.5,$,8.0,"[['Great food at good price', 'Great restaurant'], ['10/21/2016', '09/24/2016']]",/Restaurant_Review-g274707-d7124017-Reviews-Yong-Prague_Bohemia.html
Osteria il Piano,['Italian'],1846.0,4.5,,4.0,"[['Nice food'], ['10/10/2017']]",/Restaurant_Review-g274707-d12801084-Reviews-Osteria_il_Piano-Prague_Bohemia.html
Dejvicka Cajovna,['Cafe'],1847.0,4.5,,7.0,"[['Wonderful place!', 'Frequent guest'], ['09/22/2016', '04/29/2016']]",/Restaurant_Review-g274707-d7123831-Reviews-Dejvicka_Cajovna-Prague_Bohemia.html
Sbohemrozume,,1848.0,4.5,,6.0,"[['Ron Bar - Scores of Rums, Microbrew IPA Sp...'], ['11/10/2015']]",/Restaurant_Review-g274707-d4767560-Reviews-Sbohemrozume-Prague_Bohemia.html
Cafe Rybka,['Cafe'],1849.0,4.5,$,15.0,"[['Great Cafe + Beer + Books', 'Cool runnings'], ['10/02/2017', '07/12/2017']]",/Restaurant_Review-g274707-d7124255-Reviews-Cafe_Rybka-Prague_Bohemia.html
Sochi,['Russian'],1850.0,4.5,$$ - $$$,13.0,"[['Pleasant restaurant, nice service, unusual...', 'Z kalandadze'], ['02/17/2017', '08/30/2017']]",/Restaurant_Review-g274707-d7123677-Reviews-Sochi-Prague_Bohemia.html
U Mrtvyho Ptaka,"['Bar', 'European', 'Pub', 'Czech', 'Central European']",1851.0,3.5,$$ - $$$,41.0,"[['Quite good and pleasant', 'Excellent'], ['08/05/2017', '06/03/2017']]",/Restaurant_Review-g274707-d2659052-Reviews-U_Mrtvyho_Ptaka-Prague_Bohemia.html
Fast & Healthy,,1852.0,4.5,,7.0,"[[""Well it's fast and healthy"", 'Have a healthy lunch here...'], ['03/14/2017', '08/21/2016']]",/Restaurant_Review-g274707-d9721133-Reviews-Fast_Healthy-Prague_Bohemia.html
STEAKHOUSE Stara skola,"['Steakhouse', 'International']",1853.0,4.0,$$ - $$$,18.0,"[['Fresh and cosy', 'Good steaks, questionnable service'], ['07/22/2015', '03/09/2015']]",/Restaurant_Review-g274707-d1006893-Reviews-STEAKHOUSE_Stara_skola-Prague_Bohemia.html
Kare Cafe,"['Cafe', 'Vegetarian Friendly']",1854.0,3.5,$$ - $$$,77.0,"[['Coffee & Cake', 'Nice concept'], ['07/22/2017', '02/27/2017']]",/Restaurant_Review-g274707-d8802097-Reviews-Kare_Cafe-Prague_Bohemia.html
AMA Tibetan restaurant,"['Asian', 'Diner', 'Tibetan', 'Vegetarian Friendly']",1855.0,4.5,$$ - $$$,11.0,"[['Amazing atmosphere!', 'Nice Tibete food'], ['08/20/2017', '07/02/2017']]",/Restaurant_Review-g274707-d12289311-Reviews-AMA_Tibetan_restaurant-Prague_Bohemia.html
Nonstop Jidelna Marjanka,,1856.0,4.0,,12.0,"[['A decent place for cheap food.', ""Cheap beer's.""], ['12/12/2016', '08/01/2015']]",/Restaurant_Review-g274707-d4768724-Reviews-Nonstop_Jidelna_Marjanka-Prague_Bohemia.html
Central Park,['Cafe'],1857.0,5.0,,4.0,"[[], []]",/Restaurant_Review-g274707-d7124270-Reviews-Central_Park-Prague_Bohemia.html
Jarda Mayer,['Cafe'],1858.0,4.5,,8.0,"[['Funky pub', 'Relaxed and quirky'], ['12/30/2017', '11/19/2015']]",/Restaurant_Review-g274707-d7123459-Reviews-Jarda_Mayer-Prague_Bohemia.html
Restart,"['European', 'Czech']",1859.0,5.0,,5.0,"[['Good quality beer, wine and food in a frie...'], ['04/18/2016']]",/Restaurant_Review-g274707-d7123584-Reviews-Restart-Prague_Bohemia.html
Loving Hut,"['Asian', 'Vegetarian Friendly', 'Vegan Options']",1860.0,4.0,$,25.0,"[['nice place for vegetarian', 'Very good for the money you pay!'], ['03/03/2017', '02/13/2017']]",/Restaurant_Review-g274707-d7093947-Reviews-Loving_Hut-Prague_Bohemia.html
Sushi Time Sokolovska,"['Japanese', 'Sushi', 'Asian', 'Fast Food']",1861.0,4.0,$$ - $$$,30.0,"[['Best in town?', 'Watch Out at Weekends'], ['08/06/2016', '05/25/2016']]",/Restaurant_Review-g274707-d4035759-Reviews-Sushi_Time_Sokolovska-Prague_Bohemia.html
CAFEPAVLINA,"['Cafe', 'European', 'Contemporary']",1862.0,4.0,$$ - $$$,17.0,"[['50th Weekend away', 'Great food and atmosphere'], ['07/11/2017', '06/11/2016']]",/Restaurant_Review-g274707-d3189369-Reviews-CAFEPAVLINA-Prague_Bohemia.html
Na Krizovatce,"['Bar', 'European', 'Czech', 'Central European']",1863.0,3.5,$$ - $$$,47.0,"[['Nice strudl!', 'Good Value.'], ['11/05/2017', '06/14/2017']]",/Restaurant_Review-g274707-d3812205-Reviews-Na_Krizovatce-Prague_Bohemia.html
O'papa,"['Cafe', 'Fast Food', 'European', 'Healthy', 'Vegan Options', 'Vegetarian Friendly', 'Gluten Free Options']",1864.0,3.5,$$ - $$$,151.0,"[['Nice place..great soup', 'Average café'], ['09/24/2017', '09/08/2017']]",/Restaurant_Review-g274707-d6753062-Reviews-O_papa-Prague_Bohemia.html
Vojanuv Dvur,"['Bar', 'European', 'Czech', 'Central European']",1865.0,3.0,$$ - $$$,203.0,"[['Nice restaurant, but the portion of food w...', 'Nice place specially when you find a table...'], ['10/25/2017', '09/06/2017']]",/Restaurant_Review-g274707-d1092901-Reviews-Vojanuv_Dvur-Prague_Bohemia.html
Restaurace Ladronka,"['Czech', 'European']",1866.0,3.5,$,22.0,"[['Restaurant at huge park', 'Great meal'], ['11/10/2017', '07/11/2017']]",/Restaurant_Review-g274707-d7653182-Reviews-Restaurace_Ladronka-Prague_Bohemia.html
Kumbal,['Cafe'],1867.0,4.5,$$ - $$$,5.0,"[[], []]",/Restaurant_Review-g274707-d7123512-Reviews-Kumbal-Prague_Bohemia.html
Naky Kafe,,1868.0,4.5,,8.0,"[['Fine place', 'Vibrant cafe bar'], ['06/28/2017', '01/11/2016']]",/Restaurant_Review-g274707-d8696611-Reviews-Naky_Kafe-Prague_Bohemia.html
Restaurant U Zlateho Stromu,"['International', 'European', 'Czech', 'Bar', 'Central European', 'Vegetarian Friendly']",1869.0,3.5,$$ - $$$,331.0,"[['Very good restaurant', 'Amazing beef'], ['12/02/2017', '11/28/2017']]",/Restaurant_Review-g274707-d3737780-Reviews-Restaurant_U_Zlateho_Stromu-Prague_Bohemia.html
Mamacita Catalina,"['Czech', 'International', 'European', 'Central European']",1870.0,4.0,$$ - $$$,44.0,"[['Excellent for light bites - wonderful wait...', 'Good meal in city center'], ['07/26/2016', '05/12/2016']]",/Restaurant_Review-g274707-d4419577-Reviews-Mamacita_Catalina-Prague_Bohemia.html
Maranatha,"['European', 'Czech']",1871.0,5.0,$$ - $$$,5.0,"[['Excellent vegetarian restaurant'], ['12/03/2014']]",/Restaurant_Review-g274707-d7123600-Reviews-Maranatha-Prague_Bohemia.html
Inspirace,"['European', 'Czech']",1872.0,5.0,,,"[[], []]",/Restaurant_Review-g274707-d7123598-Reviews-Inspirace-Prague_Bohemia.html
Kaminka,"['European', 'Czech']",1873.0,5.0,,,"[[], []]",/Restaurant_Review-g274707-d7123592-Reviews-Kaminka-Prague_Bohemia.html
Prokopska Vyhlidka,"['European', 'Czech']",1874.0,5.0,,2.0,"[[], []]",/Restaurant_Review-g274707-d7123577-Reviews-Prokopska_Vyhlidka-Prague_Bohemia.html
Pata Meta,['Cafe'],1875.0,5.0,,,"[[], []]",/Restaurant_Review-g274707-d7123545-Reviews-Pata_Meta-Prague_Bohemia.html
La Fantasia,,1876.0,5.0,,,"[[], []]",/Restaurant_Review-g274707-d7123493-Reviews-La_Fantasia-Prague_Bohemia.html
Kunraticka,,1877.0,5.0,,,"[['Very taste cakes'], ['04/05/2017']]",/Restaurant_Review-g274707-d7123485-Reviews-Kunraticka-Prague_Bohemia.html
La Esquina,['Cafe'],1878.0,5.0,,,"[['One the best cafés in Prague. However...'], ['01/21/2015']]",/Restaurant_Review-g274707-d7123481-Reviews-La_Esquina-Prague_Bohemia.html
Pelisek,['Cafe'],1879.0,5.0,,3.0,"[[], []]",/Restaurant_Review-g274707-d7123464-Reviews-Pelisek-Prague_Bohemia.html
U Jenicka,"['European', 'Czech']",1880.0,5.0,,2.0,"[[], []]",/Restaurant_Review-g274707-d7123416-Reviews-U_Jenicka-Prague_Bohemia.html
SUBWAY,,1881.0,5.0,,,"[[], []]",/Restaurant_Review-g274707-d10389433-Reviews-SUBWAY-Prague_Bohemia.html
Creperie Ble Noir,,1882.0,5.0,,,"[[], []]",/Restaurant_Review-g274707-d7123345-Reviews-Creperie_Ble_Noir-Prague_Bohemia.html
Caffe Duet,['Cafe'],1883.0,5.0,,,"[['Worth stopping by'], ['03/19/2016']]",/Restaurant_Review-g274707-d7123315-Reviews-Caffe_Duet-Prague_Bohemia.html
Restaurace Na Ul. Ostrov Stvanice,"['European', 'Czech']",1884.0,5.0,,,"[[], []]",/Restaurant_Review-g274707-d7123313-Reviews-Restaurace_Na_Ul_Ostrov_Stvanice-Prague_Bohemia.html
Broadway,['Cafe'],1885.0,5.0,,,"[[], []]",/Restaurant_Review-g274707-d7123267-Reviews-Broadway-Prague_Bohemia.html
Bambus Zahrada,"['European', 'Czech']",1886.0,5.0,,3.0,"[[], []]",/Restaurant_Review-g274707-d7123255-Reviews-Bambus_Zahrada-Prague_Bohemia.html
Baby Cafe,['Cafe'],1887.0,5.0,,,"[[], []]",/Restaurant_Review-g274707-d7123254-Reviews-Baby_Cafe-Prague_Bohemia.html
Delight,"['European', 'Czech']",1888.0,5.0,,,"[['Restaurant Delight at Vienna House Andel'], ['01/01/2018']]",/Restaurant_Review-g274707-d7123241-Reviews-Delight-Prague_Bohemia.html
Cafe Restaurant Carolina,['International'],1889.0,5.0,,,"[[], []]",/Restaurant_Review-g274707-d694814-Reviews-Cafe_Restaurant_Carolina-Prague_Bohemia.html
Cafe 89,['Cafe'],1890.0,5.0,,,"[[], []]",/Restaurant_Review-g274707-d7123276-Reviews-Cafe_89-Prague_Bohemia.html
Pekarstvi U Pichu,,1891.0,5.0,,,"[[], []]",/Restaurant_Review-g274707-d12150298-Reviews-Pekarstvi_U_Pichu-Prague_Bohemia.html
Destnik,"['European', 'Diner', 'Czech']",1892.0,5.0,,,"[[], []]",/Restaurant_Review-g274707-d7123442-Reviews-Destnik-Prague_Bohemia.html
Mailsi,"['Middle Eastern', 'Pakistani']",1893.0,5.0,,,"[[], []]",/Restaurant_Review-g274707-d7123536-Reviews-Mailsi-Prague_Bohemia.html
Pracovna,"['Bar', 'Pub', 'Cafe', 'Vegetarian Friendly', 'Gluten Free Options']",1894.0,5.0,$,4.0,"[['Awesome gem in the middle of no where!'], ['09/13/2016']]",/Restaurant_Review-g274707-d7123588-Reviews-Pracovna-Prague_Bohemia.html
S+S,,1895.0,5.0,,,"[[], []]",/Restaurant_Review-g274707-d7123356-Reviews-S_S-Prague_Bohemia.html
Idoskop,['Cafe'],1896.0,5.0,,,"[[], []]",/Restaurant_Review-g274707-d7123358-Reviews-Idoskop-Prague_Bohemia.html
Kebab Cz Premium,['Middle Eastern'],1897.0,5.0,,,"[[], []]",/Restaurant_Review-g274707-d8073923-Reviews-Kebab_Cz_Premium-Prague_Bohemia.html
Pho Polevska Vietnamska,['Vietnamese'],1898.0,5.0,,,"[['tiny cafe/restaurant, excellent food'], ['09/02/2014']]",/Restaurant_Review-g274707-d7046682-Reviews-Pho_Polevska_Vietnamska-Prague_Bohemia.html
Cukrarna On Kubelikova Street,,1899.0,5.0,,,"[[], []]",/Restaurant_Review-g274707-d7124092-Reviews-Cukrarna_On_Kubelikova_Street-Prague_Bohemia.html
Ceska stodola,,1900.0,5.0,,,"[[], []]",/Restaurant_Review-g274707-d12227989-Reviews-Ceska_stodola-Prague_Bohemia.html
Spicymama,"['Asian', 'Fusion', 'Street Food', 'Soups']",1901.0,5.0,$,,"[[], []]",/Restaurant_Review-g274707-d12999419-Reviews-Spicymama-Prague_Bohemia.html
Domaci cheesecake,"['Italian', 'American', 'British']",1902.0,5.0,$$ - $$$,,"[['Best cheescakes in Prague'], ['11/08/2017']]",/Restaurant_Review-g274707-d13115047-Reviews-Domaci_cheesecake-Prague_Bohemia.html
Kral JE TU,"['Pub', 'Gastropub']",1903.0,5.0,,,"[['Finally Stuffed Cabbage in Eastern Europe'], ['05/27/2017']]",/Restaurant_Review-g274707-d10413130-Reviews-Kral_JE_TU-Prague_Bohemia.html
Green Factory,,1904.0,5.0,,,"[[], []]",/Restaurant_Review-g274707-d12421714-Reviews-Green_Factory-Prague_Bohemia.html
Wolfgang pizzaria resturant,"['European', 'Czech']",1905.0,5.0,,,"[['Very enjoyable'], ['12/15/2015']]",/Restaurant_Review-g274707-d2312026-Reviews-Wolfgang_pizzaria_resturant-Prague_Bohemia.html
Bstreet bistro,"['Italian', 'Indian', 'European', 'Czech']",1906.0,5.0,$,,"[['Perfect bistro'], ['04/11/2017']]",/Restaurant_Review-g274707-d12135807-Reviews-Bstreet_bistro-Prague_Bohemia.html
Plavecka Polevka,"['Cafe', 'European', 'Czech']",1907.0,5.0,,,"[['Amazing Local Spot'], ['10/07/2017']]",/Restaurant_Review-g274707-d12936702-Reviews-Plavecka_Polevka-Prague_Bohemia.html
Maso a Kour by Stejkarna,"['American', 'European', 'Grill']",1908.0,5.0,$$ - $$$,2.0,"[[], []]",/Restaurant_Review-g274707-d13295439-Reviews-Maso_a_Kour_by_Stejkarna-Prague_Bohemia.html
Dobrocinna kavarna Cesta domu,,1909.0,5.0,,,"[[], []]",/Restaurant_Review-g274707-d12340677-Reviews-Dobrocinna_kavarna_Cesta_domu-Prague_Bohemia.html
Chanbar,"['International', 'European', 'Czech']",1910.0,5.0,$,5.0,"[['A lovely little spot', 'Chanbar Cafe'], ['07/11/2015', '07/05/2015']]",/Restaurant_Review-g274707-d7377264-Reviews-Chanbar-Prague_Bohemia.html
Frasky's Bistrot,,1911.0,5.0,,,"[['Brunch'], ['09/17/2017']]",/Restaurant_Review-g274707-d12035923-Reviews-Frasky_s_Bistrot-Prague_Bohemia.html
"Pizza Borsalino, Palackeho",,1912.0,5.0,,,"[[], []]",/Restaurant_Review-g274707-d12911571-Reviews-Pizza_Borsalino_Palackeho-Prague_Bohemia.html
Cafe v parku,"['Fast Food', 'European', 'Czech']",1913.0,5.0,,,"[[], []]",/Restaurant_Review-g274707-d12911584-Reviews-Cafe_v_parku-Prague_Bohemia.html
Buta Restaurant and Lounge,,1914.0,5.0,,3.0,"[['Good food and atmosphere'], ['02/10/2015']]",/Restaurant_Review-g274707-d7197065-Reviews-Buta_Restaurant_and_Lounge-Prague_Bohemia.html
Mezi domy,,1915.0,5.0,,,"[[], []]",/Restaurant_Review-g274707-d13111916-Reviews-Mezi_domy-Prague_Bohemia.html
Ristorate Soave,['Italian'],1916.0,5.0,,4.0,"[['great service!!!', 'Fantastic Italian Tyrolian Restaurant in P...'], ['03/31/2013', '01/23/2013']]",/Restaurant_Review-g274707-d3261809-Reviews-Ristorate_Soave-Prague_Bohemia.html
EX-YU Fast Good,"['European', 'Czech']",1917.0,5.0,,,"[['Excellent burek'], ['10/21/2017']]",/Restaurant_Review-g274707-d12982760-Reviews-EX_YU_Fast_Good-Prague_Bohemia.html
U Holise,,1918.0,5.0,,,"[[], []]",/Restaurant_Review-g274707-d13323944-Reviews-U_Holise-Prague_Bohemia.html
Sedmej Schod,,1919.0,5.0,,,"[['Over 200 types of bottled beer from around...'], ['10/11/2014']]",/Restaurant_Review-g274707-d7144304-Reviews-Sedmej_Schod-Prague_Bohemia.html
Kavarna V Raji,"['Bar', 'Cafe', 'Pub']",1920.0,5.0,,,"[['Amazing place!'], ['04/11/2017']]",/Restaurant_Review-g274707-d12295896-Reviews-Kavarna_V_Raji-Prague_Bohemia.html
Apetit Praha,,1921.0,5.0,,,"[['Cafeteria style Restaurant'], ['10/31/2016']]",/Restaurant_Review-g274707-d10770161-Reviews-Apetit_Praha-Prague_Bohemia.html
Pivoteka Pivni Rozmanitost,,1922.0,5.0,,,"[[], []]",/Restaurant_Review-g274707-d13135742-Reviews-Pivoteka_Pivni_Rozmanitost-Prague_Bohemia.html
Kfc,"['American', 'Fast Food']",1923.0,5.0,,,"[[], []]",/Restaurant_Review-g274707-d7246438-Reviews-Kfc-Prague_Bohemia.html
Cajovna Na Ceste,['Cafe'],1924.0,5.0,,2.0,"[['A little bit of magic in Prague'], ['08/06/2017']]",/Restaurant_Review-g274707-d7246432-Reviews-Cajovna_Na_Ceste-Prague_Bohemia.html
Li de,['Chinese'],1925.0,5.0,,,"[[], []]",/Restaurant_Review-g274707-d7246429-Reviews-Li_de-Prague_Bohemia.html
La Pause,['Cafe'],1926.0,5.0,,,"[[], []]",/Restaurant_Review-g274707-d7246424-Reviews-La_Pause-Prague_Bohemia.html
Kava & Pecivo,['Cafe'],1927.0,5.0,,,"[['The Real Prague Coffeeshop'], ['12/13/2017']]",/Restaurant_Review-g274707-d13135431-Reviews-Kava_Pecivo-Prague_Bohemia.html
Aura Lounge Prague,"['Bar', 'Pub']",1928.0,5.0,$,2.0,"[['Hookah'], ['10/11/2016']]",/Restaurant_Review-g274707-d11592356-Reviews-Aura_Lounge_Prague-Prague_Bohemia.html
Up Bar,"['Pizza', 'Asian']",1929.0,5.0,,,"[[], []]",/Restaurant_Review-g274707-d8016640-Reviews-Up_Bar-Prague_Bohemia.html
Sweetcakes,"['European', 'Russian', 'Czech']",1930.0,5.0,$,,"[['It was great'], ['04/23/2017']]",/Restaurant_Review-g274707-d11925562-Reviews-Sweetcakes-Prague_Bohemia.html
"Vinoteka ""U Soudku""","['Wine Bar', 'Czech']",1931.0,5.0,$,2.0,"[[], []]",/Restaurant_Review-g274707-d8608050-Reviews-Vinoteka_U_Soudku-Prague_Bohemia.html
Hostinec U Terfleru,,1932.0,5.0,,,"[['Great little pub off the beaten track'], ['09/06/2015']]",/Restaurant_Review-g274707-d8607911-Reviews-Hostinec_U_Terfleru-Prague_Bohemia.html
Asian Bistro,,1933.0,5.0,,,"[[], []]",/Restaurant_Review-g274707-d10664983-Reviews-Asian_Bistro-Prague_Bohemia.html
Mr. Pham,,1934.0,5.0,,,"[[], []]",/Restaurant_Review-g274707-d12876589-Reviews-Mr_Pham-Prague_Bohemia.html
Pepe Nero Caffe,['Cafe'],1935.0,5.0,$$ - $$$,3.0,"[['Great Italian food in Prague', 'Amazing Italian Food'], ['10/26/2015', '07/19/2015']]",/Restaurant_Review-g274707-d7707065-Reviews-Pepe_Nero_Caffe-Prague_Bohemia.html
Vision Restaurant,"['Italian', 'British', 'Vegan Options']",1936.0,5.0,,,"[[], []]",/Restaurant_Review-g274707-d8015582-Reviews-Vision_Restaurant-Prague_Bohemia.html
Cafe & Bistro Kuzebauch,['Italian'],1937.0,5.0,,3.0,"[['Lovely garden and great food'], ['03/28/2016']]",/Restaurant_Review-g274707-d7886605-Reviews-Cafe_Bistro_Kuzebauch-Prague_Bohemia.html
Momento,"['European', 'Diner', 'Czech']",1938.0,5.0,,,"[['A nice new place to drink and eat'], ['05/26/2017']]",/Restaurant_Review-g274707-d7706547-Reviews-Momento-Prague_Bohemia.html
Onetwobar & Gallery,"['Bar', 'Pub', 'Wine Bar']",1939.0,5.0,$,,"[['Design!!!'], ['02/03/2017']]",/Restaurant_Review-g274707-d10725901-Reviews-Onetwobar_Gallery-Prague_Bohemia.html
Puro,,1940.0,5.0,,,"[[], []]",/Restaurant_Review-g274707-d12926349-Reviews-Puro-Prague_Bohemia.html
Cukrarna Homola,,1941.0,5.0,,2.0,"[[], []]",/Restaurant_Review-g274707-d6985513-Reviews-Cukrarna_Homola-Prague_Bohemia.html
Wombat Cafe,,1942.0,5.0,,,"[[], []]",/Restaurant_Review-g274707-d12643165-Reviews-Wombat_Cafe-Prague_Bohemia.html
Banh Mi Freta,['Vietnamese'],1943.0,5.0,$,,"[[], []]",/Restaurant_Review-g274707-d8425484-Reviews-Banh_Mi_Freta-Prague_Bohemia.html
Bistro Palermo,"['Italian', 'Pizza', 'Mediterranean']",1944.0,5.0,$$ - $$$,3.0,"[[], []]",/Restaurant_Review-g274707-d13285917-Reviews-Bistro_Palermo-Prague_Bohemia.html
The Three Blue Balls,,1945.0,5.0,,4.0,"[['Beautiful! :-)'], ['05/18/2013']]",/Restaurant_Review-g274707-d1096007-Reviews-The_Three_Blue_Balls-Prague_Bohemia.html
Mediterranean Restaurant,"['Mediterranean', 'Greek']",1946.0,5.0,,,"[[], []]",/Restaurant_Review-g274707-d7653757-Reviews-Mediterranean_Restaurant-Prague_Bohemia.html
Na KovarnE,,1947.0,5.0,,,"[['fantastic food'], ['03/05/2017']]",/Restaurant_Review-g274707-d11735169-Reviews-Na_KovarnE-Prague_Bohemia.html
